dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
HAP1,0,0.1,0.1,GoDag (global grid),global_475,1.970398209402801e-32,0.07094820120136434,0.25246708502844906,0.07433031415719749,74,128.0,819.0,386,0.8437118437118437,0.07604654436568076,114.0,0
HAP1,0,0.1,0.1,GoCo-source (paper path),adapt_475_to_450_q0.4,0.0571504043636001,0.0951882699497054,0.28925937658226436,0.1008240736481935,76,135.0,1265.0,501,0.8932806324110671,0.10204836718582652,119.0,153
HAP1,0,0.1,0.1,GoCo-random1 (paper path),adapt_475_to_450_q0.4,0.030230094790485634,0.09429897948656409,0.28827112448596615,0.09237662280830763,79,138.0,1074.0,468,0.8715083798882681,0.0942223100392648,120.0,117
HAP1,0,0.1,0.1,GoCo-knap (paper path),adapt_475_to_450_q0.225,0.02224012050735422,0.09391219361035812,0.28759111863148595,0.10006212661372679,76,136.0,1253.0,498,0.8914604948124502,0.10128642015135982,120.0,145
HAP1,0,0.1,0.1,GoCo-exp1 (paper path),adapt_475_to_450_q0.35,0.028943244442636667,0.09424508309105054,0.28806059331028294,0.09832370376790622,76,135.0,1236.0,490,0.8907766990291263,0.09954799730553926,119.0,137
HAP1,0,0.1,0.1,GoCo-dense-knap (tie-level path),adapt_455.567_to_451.229_q0.25,6.324170176605e-27,0.07149794747531282,0.2533505199518543,0.07518999845358303,76,135.0,872.0,389,0.8451834862385321,0.0765363514701155,120.0,29
HAP1,0,0.1,0.5,GoDag (global grid),global_475,1.970398209402801e-32,0.07094820120136434,0.25246708502844906,0.07433031415719749,74,128.0,819.0,386,0.8437118437118437,0.07604654436568076,114.0,0
HAP1,0,0.1,0.5,GoCo-source (paper path),adapt_475_to_450_q0.5,0.48536403362169583,0.09988571039727144,0.29567085734305587,0.10511464917932253,79,139.0,1316.0,523,0.8943768996960486,0.10633894271695556,123.0,185
HAP1,0,0.1,0.5,GoCo-random1 (paper path),adapt_475_to_450_q0.4,0.030230094790485634,0.09429897948656409,0.28827112448596615,0.09237662280830763,79,138.0,1074.0,468,0.8715083798882681,0.0942223100392648,120.0,117
HAP1,0,0.1,0.5,GoCo-knap (paper path),adapt_475_to_450_q0.3,0.3487316931118666,0.09879457266051347,0.2943639976073852,0.10427872670249731,76,136.0,1291.0,517,0.8946553059643687,0.10550302024013034,120.0,164
